website,page_url,base_url,tag,story_tag,story_class
El Tiempo,https://www.eltiempo.com/colombia,https://www.eltiempo.com/,a,div,paragraph
El Espectador,https://www.elespectador.com/politica/?utm_source=interno&utm_medium=boton&utm_campaign=menu_horizontal&utm_content=boton_menu_horizontal,https://www.elespectador.com/,a,p,font--secondary
